,Predictions,Test values
20296,1323060.8,1678000.0
14937,1705799.6,1760000.0
5788,956369.0,1031000.0
6579,488012.97,460000.0
21269,1400460.4,1060000.0
7181,1011831.0,1190000.0
18473,601399.2,459000.0
8346,762214.06,659500.0
29057,570133.3,591000.0
28844,3150679.0,3350000.0
30293,1286836.9,1035000.0
4036,915757.75,840000.0
7476,726600.06,690000.0
5032,1592207.4,1250000.0
7905,1124669.0,1014000.0
6109,1879796.5,1880000.0
17588,586405.8,615888.0
2496,1374079.2,1600000.0
22292,634437.4,522000.0
8748,1171293.5,1025000.0
6259,1466545.4,1611000.0
18388,497084.8,440500.0
21710,1131505.8,880000.0
24131,727301.1,782000.0
10944,874727.2,630000.0
23527,391357.25,650000.0
7188,960547.25,790000.0
9715,925180.75,995000.0
2380,940580.06,711000.0
24615,866246.5,1356250.0
29106,579617.2,608000.0
27665,949466.2,975000.0
28150,1821491.9,1950000.0
13698,445263.0,346000.0
25050,600423.9,346000.0
8249,860430.44,986000.0
6776,1501304.0,1630000.0
27281,633506.4,850000.0
28092,774883.3,777500.0
25155,773508.44,740000.0
10895,1930045.8,1930000.0
19381,487093.25,510000.0
27061,492149.22,421500.0
3560,1149644.8,1260000.0
13852,858757.7,960000.0
14165,985089.2,840000.0
26264,834362.2,698000.0
29904,623251.94,590000.0
5856,992611.4,806000.0
17520,1475954.2,1663000.0
26458,1690990.1,2100000.0
25757,2547173.5,4620000.0
19450,553837.5,550000.0
27637,379119.88,420000.0
26031,3856321.2,3800000.0
8788,427893.3,681000.0
22106,1366229.9,1495000.0
10730,1169699.8,1230000.0
23079,981994.9,601000.0
24080,493774.03,490000.0
18072,707985.3,815000.0
27692,979623.4,1320000.0
4970,738828.4,660000.0
15275,559154.4,515000.0
4719,1956213.2,2100000.0
28108,1186374.5,1391000.0
8348,566274.7,645000.0
15500,355147.0,312000.0
31218,658217.4,610000.0
28863,1080926.6,1660000.0
8683,601053.56,580000.0
29650,743394.5,600000.0
13413,507147.12,427500.0
9291,682179.44,832000.0
2067,2000479.0,2200000.0
9218,682179.44,680000.0
11920,736150.3,600000.0
26665,1237303.5,1111000.0
15724,567991.5,535000.0
19715,1425034.4,1310000.0
27120,830291.25,642000.0
18063,674829.94,851000.0
22423,1296796.5,1210000.0
27012,633128.25,762000.0
5077,1643107.6,1705000.0
17658,595962.0,602000.0
17625,624352.56,752000.0
25767,1539723.2,1240000.0
23917,1159986.9,1210000.0
2670,750259.4,522000.0
24805,1547872.8,1201000.0
480,472412.75,567000.0
8555,467368.2,363000.0
7305,730000.94,720000.0
23606,370157.62,347000.0
19447,995777.3,1002000.0
26312,661721.8,617500.0
16919,621348.2,617000.0
26033,741413.1,775000.0
24168,589650.56,560000.0
9434,769508.75,800000.0
10939,1258021.1,1340000.0
7636,569340.0,480000.0
10188,1337126.0,1210000.0
4552,1976831.9,2077000.0
10530,1067314.1,1080000.0
2269,713448.44,815000.0
13905,1582578.0,1412000.0
7525,1152421.2,1100000.0
87,546492.5,600000.0
28539,815023.25,736000.0
24898,760955.7,695000.0
19998,1257410.5,1160000.0
16496,849840.2,1020000.0
1067,2450027.8,2575000.0
23112,588257.3,580000.0
8962,428326.84,360000.0
11279,738938.2,750000.0
11333,1695232.5,1865000.0
22760,1481083.4,1800000.0
2082,1774137.9,1755000.0
9596,484289.75,385000.0
13983,709042.1,925000.0
4393,360027.62,357000.0
28313,1449748.9,1390000.0
913,2581865.2,3270000.0
20718,1210286.5,832000.0
15007,750490.25,1100000.0
5832,1240208.8,1230000.0
11935,1026705.06,1033000.0
5039,1615498.0,1460000.0
9903,677701.4,710000.0
7902,1498021.0,1520000.0
12077,628893.3,566000.0
20872,487759.0,425000.0
4490,1063903.2,767500.0
692,1302340.8,1270000.0
4867,698244.25,582000.0
21194,821917.1,910000.0
9088,961817.06,822500.0
24452,1502153.8,1720000.0
8995,811639.3,650000.0
6937,1355272.2,1683000.0
11386,819599.06,735000.0
30947,1051867.2,925000.0
26201,614919.25,705000.0
31271,876336.8,675000.0
26936,525488.94,460000.0
15017,1331858.4,1170000.0
16113,1966068.4,1900000.0
16666,1001629.0,835000.0
16514,426947.03,355000.0
23764,592517.56,450000.0
12675,1340465.2,1309000.0
27313,816799.6,835000.0
3148,256795.31,290000.0
23783,1248118.0,1075000.0
7830,1041537.9,1060000.0
13070,754022.7,843000.0
24208,1481621.5,1165000.0
286,1000194.2,857500.0
21020,1316054.1,950000.0
25793,868013.94,700000.0
3099,2693739.5,2170000.0
28278,1337153.8,1250000.0
11112,1285124.0,1335000.0
10654,1306961.5,1200000.0
13419,523636.5,520000.0
21028,1364115.2,1225000.0
22716,836465.2,890000.0
14181,1335847.9,922500.0
24389,966256.56,1111000.0
28189,499123.0,541000.0
24446,785409.75,930000.0
17090,895698.3,1010000.0
25628,999234.9,780000.0
21869,572163.9,580000.0
843,1377154.4,1080000.0
28894,1830396.8,3680000.0
17015,748694.75,802500.0
22606,901206.7,950000.0
22704,1120086.1,1150000.0
6714,1062084.9,1400000.0
29672,534865.7,540000.0
7309,1153409.5,1020000.0
25354,1795916.9,1675000.0
17934,531316.7,505000.0
24454,1497324.8,1745000.0
23320,1174989.1,1072000.0
4327,1193023.2,1325000.0
25388,928290.1,1661000.0
985,1909576.1,3401000.0
17012,625879.3,697000.0
31105,1534580.1,965000.0
17479,474699.0,360000.0
18624,914898.6,935000.0
20918,924319.0,1001000.0
6177,827462.2,893000.0
11507,1486768.0,1030000.0
5837,2272024.8,1001000.0
17769,632854.4,730000.0
23861,460849.8,337000.0
23609,365526.0,390000.0
7669,825405.75,790000.0
10422,1458245.2,1560000.0
20301,606102.94,456000.0
8127,956086.44,840000.0
18345,1466940.2,1350000.0
15420,1207228.6,1230000.0
8200,519346.16,530000.0
19681,1351315.4,1192000.0
13338,944976.75,1100000.0
28452,1005089.6,602000.0
3683,533738.0,452000.0
15462,1151878.4,1525000.0
6264,3315834.8,4700000.0
27580,950108.0,860000.0
28617,783973.56,835000.0
25692,1244895.5,1100000.0
29688,425752.8,400000.0
7655,450566.25,521500.0
4239,594186.8,308000.0
23134,1764037.9,1620000.0
4883,554948.8,488500.0
15169,1023133.94,750000.0
26997,680226.9,723000.0
7733,759383.44,750000.0
8726,1251603.2,1025000.0
18683,628723.2,698000.0
23531,669634.75,540000.0
14709,747430.0,850000.0
23014,1213325.6,1160000.0
2465,800450.25,787000.0
18120,773436.9,1022000.0
21900,695280.0,1380000.0
30320,640655.2,567000.0
7269,607621.94,587134.0
16405,614211.75,600000.0
18233,2639800.8,2200000.0
15666,922979.75,895000.0
8987,886584.9,971000.0
16689,1282529.0,1199000.0
19139,882004.2,910000.0
9876,761980.2,625000.0
22161,1566423.2,1255000.0
29657,554196.7,690000.0
16439,700158.56,597500.0
23225,1956084.1,3350000.0
25799,877430.75,800000.0
23216,586198.25,565000.0
17640,561572.2,550000.0
9373,2915170.2,2200000.0
12268,1492260.9,1351000.0
25762,785476.25,720000.0
23258,601411.0,690000.0
8820,1000337.44,777500.0
13483,671553.6,570000.0
11896,583751.4,390000.0
11858,792064.6,840000.0
28145,858638.0,905000.0
1836,1224834.5,826000.0
27017,660855.0,692000.0
25173,389046.97,380000.0
12368,1502526.2,1270000.0
21106,1434427.2,1075000.0
22840,1242283.5,1250000.0
18766,1031172.9,1111500.0
24627,708941.8,800000.0
15279,985339.8,1180000.0
26098,898285.4,850000.0
9396,452627.8,300000.0
2189,575350.8,764000.0
20190,951542.8,640000.0
249,420443.22,391000.0
22538,2448384.5,1600000.0
1863,706379.75,858000.0
6478,1250741.1,960000.0
28191,511129.28,475000.0
125,689015.56,405000.0
5649,607096.2,400000.0
17112,526799.3,530000.0
31410,539020.2,558800.0
19926,869011.06,1171000.0
24767,1271640.6,940000.0
30342,652551.44,645000.0
28448,1530406.6,1700000.0
7396,1178700.2,975000.0
28741,807796.06,840000.0
16467,1132160.2,1500000.0
11105,483348.9,400000.0
12511,1606833.0,1900000.0
25700,555942.94,580000.0
20907,1130930.8,990000.0
24603,1613931.5,2000000.0
10353,1448146.2,1913000.0
30678,879932.9,1000000.0
11237,712744.5,615000.0
3234,1957318.9,2560000.0
27515,1693922.4,1370000.0
9005,1175742.5,1051000.0
10091,2069638.4,1750000.0
23197,931399.3,610000.0
15679,1011657.75,1180000.0
17742,1009679.44,1090000.0
14368,1598883.9,2200000.0
25219,485618.06,488000.0
15211,644838.94,625000.0
30902,515795.88,410000.0
19919,1093618.8,937000.0
9970,607046.3,593000.0
27686,1192213.9,945000.0
30778,817530.6,870000.0
25466,706769.44,730000.0
5713,647926.7,630000.0
30920,581623.2,581000.0
3975,1299320.5,1250000.0
8193,968041.9,1065000.0
27355,722000.3,748000.0
16529,1547240.6,1770000.0
13040,1291127.9,1060000.0
5516,1143470.5,900000.0
29133,633260.6,462000.0
19645,563510.1,666000.0
22680,499829.97,500000.0
25174,770633.8,580000.0
20539,1001089.6,780000.0
8937,1640126.5,1555000.0
9620,591563.75,565000.0
17808,689938.5,570000.0
28207,740191.9,662000.0
13624,816561.8,888500.0
2383,500691.5,500000.0
3869,813650.94,780000.0
18412,1596237.5,1384000.0
14928,736188.4,505000.0
26164,454049.44,363500.0
23895,1298703.9,1150000.0
25141,581612.75,530000.0
26566,748851.1,700000.0
9101,980181.4,1200000.0
31370,720405.5,680000.0
2425,511934.3,497000.0
14083,943689.2,970000.0
17078,862631.94,825000.0
10,1160715.8,941000.0
20083,603348.7,564000.0
25602,710072.8,1103000.0
29851,1145530.5,1246000.0
2540,1476817.9,1342000.0
6707,740446.56,796000.0
8480,696936.1,605000.0
11224,866535.94,820000.0
25266,955806.1,1090000.0
8971,714664.44,790000.0
21959,1346415.5,1360000.0
30151,1211388.0,1130000.0
22347,921618.94,878000.0
20155,1054036.9,1386000.0
16528,715662.1,645000.0
13371,832437.7,676000.0
17320,2348652.0,1387000.0
28394,1318646.6,1620000.0
24831,654847.4,417000.0
1587,1219347.2,1155000.0
18386,943679.75,935000.0
5210,709957.8,753000.0
22336,592675.94,685000.0
19361,1162984.5,1740000.0
28052,412994.22,284000.0
17546,1381935.6,1900000.0
22608,586271.06,561000.0
29411,1258577.8,1245000.0
29369,1142447.8,950000.0
23028,2600422.8,1535000.0
27586,791255.94,690000.0
24754,736923.6,720000.0
8375,887062.8,1195000.0
20980,892242.8,862500.0
18379,823196.0,780000.0
22518,1854613.8,2040000.0
19129,532544.75,419000.0
26630,544163.7,505000.0
26253,1063290.0,932000.0
21593,1157701.6,1070000.0
24443,563897.6,700000.0
7852,1409521.1,1565000.0
25479,904646.1,965000.0
6291,949204.2,927000.0
8826,1347687.1,1420000.0
19182,1733196.9,2225000.0
2877,1758122.8,1425000.0
7332,523077.16,520000.0
16171,1128877.2,1500000.0
4879,632086.06,762700.0
5884,634285.0,588000.0
1325,1237435.0,900000.0
3943,745319.94,640000.0
29854,1200699.9,1380000.0
5424,723428.7,526000.0
28324,1058123.8,965000.0
7470,889195.5,920000.0
9910,632112.9,540000.0
21095,1138728.9,975000.0
30126,2151482.8,2375000.0
4126,1191585.0,1290000.0
8395,423145.03,380000.0
12938,679230.94,1175000.0
10148,1445648.9,1050000.0
19147,700551.56,770000.0
4262,1374377.4,1000000.0
25101,803674.8,666133.0
9735,837356.75,920000.0
24753,664984.75,850000.0
4926,625066.0,690000.0
14628,593155.3,565000.0
19362,661831.1,560000.0
16863,1403598.9,1250000.0
21019,1202664.9,1265000.0
11423,2477844.2,2500000.0
16830,587908.56,499000.0
30170,601205.56,640000.0
26510,1331712.5,1200000.0
3612,1175236.2,1050000.0
7133,940589.25,760000.0
2444,1080675.8,1127000.0
16974,777433.1,922000.0
20950,1697728.6,2350000.0
30207,1220823.9,950000.0
8893,560398.56,646000.0
15768,3591530.8,2520000.0
16046,847033.06,825000.0
13388,2107515.8,3970000.0
9988,687217.0,657000.0
26327,551704.3,585000.0
31195,680932.6,820000.0
17256,616265.0,635000.0
21500,753542.8,746000.0
25673,1135193.8,1200000.0
16206,657558.4,620000.0
13382,990759.4,1461000.0
21451,599192.8,670000.0
7680,848703.2,683500.0
4802,633156.2,438000.0
18514,512373.44,490000.0
16002,2343463.5,2500000.0
1392,1332937.5,1100000.0
5425,782204.2,570000.0
28955,1297783.9,1020000.0
17639,766953.4,1075000.0
6750,2076419.6,2600000.0
4270,797642.25,720000.0
6218,792017.0,865000.0
26079,1293721.6,1181000.0
18174,614211.75,522000.0
25654,1224113.4,2200000.0
8290,833427.44,821000.0
10522,734295.75,920000.0
16781,955715.75,1100000.0
28940,672680.6,630000.0
24215,1288902.1,1320000.0
10425,794851.25,775000.0
29326,1177179.8,1150000.0
29982,807796.2,785000.0
16832,676413.75,506000.0
28607,1392675.4,1563000.0
20068,2536331.8,3400000.0
9179,1384607.8,1720000.0
14899,1019332.4,1157000.0
11097,492658.25,440000.0
15,1341138.5,1000000.0
30626,2127813.8,1700000.0
31332,649746.7,517000.0
30465,624705.5,420000.0
2312,1215856.1,1550000.0
23748,871357.6,675000.0
2416,463289.62,484000.0
29750,651920.3,801000.0
9919,622160.9,650000.0
19339,2336703.2,2400000.0
26855,950089.56,907000.0
7726,496253.53,410000.0
30699,1182007.5,1500000.0
24872,1568455.1,1200000.0
3816,1583667.1,1350000.0
28523,1452359.0,1221000.0
6915,797590.44,726000.0
12523,3443974.8,5020000.0
12322,1227764.4,1392000.0
20452,1139878.6,948000.0
11400,678496.7,705000.0
20885,563125.8,471000.0
22064,923805.8,1051500.0
29669,517895.97,112000.0
14271,874071.25,380000.0
3347,641730.25,590000.0
7117,1049862.2,1199000.0
9054,564257.06,452000.0
18760,383271.0,328000.0
26950,758634.44,792000.0
29556,777797.25,750000.0
18649,902623.8,830000.0
4519,1431190.9,1425000.0
4173,1338042.6,955000.0
2985,725584.25,855000.0
10052,1718523.5,2200000.0
8573,816475.56,905000.0
14499,1073170.0,950000.0
14483,1676232.2,2110000.0
20880,1220058.1,925000.0
21178,618397.9,648000.0
21346,719577.2,550000.0
28959,1772816.5,2025000.0
12200,1555652.4,1911000.0
17468,1072901.6,1150000.0
17706,600992.44,605000.0
12668,992050.7,968000.0
16205,621631.9,310000.0
19816,801758.06,617000.0
20589,685397.44,492000.0
13148,637738.6,675000.0
24,1573436.2,1350000.0
10289,1157281.4,2040000.0
15239,936893.7,1100000.0
12918,681905.1,665000.0
8195,735844.25,798000.0
15816,609525.8,645000.0
15377,1200425.6,1171000.0
24403,1018797.94,912000.0
18531,874060.2,807000.0
13471,720526.4,805000.0
20919,817735.3,745000.0
25866,475723.47,422000.0
4134,387519.62,370000.0
541,977572.44,890000.0
28152,701772.94,692000.0
14793,1231578.2,1336000.0
8878,1254133.0,1550000.0
23496,525364.8,406500.0
28053,1105062.4,950000.0
7874,1413313.9,1384000.0
25591,701958.6,748000.0
16269,2922369.8,2862000.0
365,622868.8,599000.0
2221,1130322.8,825000.0
31005,1002707.1,1462000.0
23321,1042813.4,1290000.0
28679,1126107.5,1057500.0
5101,808228.5,738000.0
24296,1509016.5,1500000.0
17179,865028.5,805000.0
25165,2498521.0,2425000.0
3121,1322056.5,1314000.0
11652,895144.4,861500.0
12227,1175419.9,1100000.0
25261,984320.06,735000.0
12458,850956.2,327500.0
23893,441569.22,469500.0
12479,610216.5,605000.0
18242,1308245.2,1310000.0
17977,633961.3,565000.0
7810,1712535.6,1421000.0
26847,385207.66,540000.0
17396,1260960.5,1200000.0
29606,1048305.6,1395000.0
22246,819171.2,965000.0
715,1186188.0,980000.0
4415,722850.06,674000.0
29186,561607.75,465000.0
7553,715440.3,710000.0
21805,579465.5,632000.0
20746,494363.72,362000.0
30558,1907230.5,2180000.0
18582,726446.9,535000.0
15542,1173878.6,1462000.0
25981,3038551.5,5355000.0
340,653736.25,620000.0
13797,1879004.2,1490000.0
25113,1253481.6,1335000.0
19623,732335.5,620000.0
29946,3461543.0,4515000.0
1299,925033.75,820000.0
13605,680137.3,490000.0
10324,388717.56,295000.0
835,1366569.0,1193000.0
10397,1246454.0,1100000.0
6918,889597.1,801000.0
19097,400480.56,352500.0
342,831816.56,728500.0
29359,1475256.8,1222000.0
17612,749605.06,635000.0
16442,1025210.44,1220000.0
21944,1019487.5,1295000.0
18493,617959.3,500000.0
5015,1453363.8,2020000.0
9825,531307.1,470000.0
24113,909291.2,582000.0
16818,803610.6,635000.0
12710,1450405.8,1880000.0
11138,857087.6,795000.0
7650,554940.06,495000.0
27365,453499.78,351500.0
29656,673378.5,471000.0
21799,526084.8,480000.0
13124,1626460.2,1700000.0
10931,366743.06,381000.0
9137,582549.44,490000.0
1599,908175.75,670000.0
8174,821261.25,600000.0
16243,1440027.5,1390000.0
24316,615197.44,513000.0
21190,1176021.9,950000.0
24189,655265.25,781000.0
18286,2900152.0,3825000.0
1381,1376859.4,1960000.0
2537,1619642.1,1682000.0
11212,1010199.56,925000.0
5112,1745814.9,1740000.0
28691,778993.94,890000.0
16566,1339957.1,1650000.0
6702,740446.56,1016000.0
12612,1607366.6,1652500.0
9081,869799.7,920000.0
10725,1230125.4,1710000.0
18966,974745.6,1000000.0
28589,858658.6,760000.0
7288,2062095.4,2000000.0
2183,575350.8,605000.0
7367,1242100.0,1676000.0
25682,1680823.0,1975000.0
21726,675551.0,637000.0
6686,640000.3,585000.0
29225,497086.22,530000.0
10561,1023330.0,915000.0
15349,610711.2,682000.0
22611,769070.25,840500.0
31028,563431.8,525000.0
9189,1024007.6,690000.0
4290,1556067.5,1141000.0
16466,1306996.5,1380000.0
2139,560896.25,428000.0
3039,1050162.6,860000.0
2167,880915.25,627000.0
15366,610388.44,472000.0
15405,620816.0,820000.0
1930,903909.2,821000.0
11119,1147263.1,1202500.0
28270,561249.4,521000.0
233,889142.06,1120000.0
20022,746175.94,543500.0
6193,891086.56,915000.0
24414,970238.75,636000.0
14575,1356740.0,1930000.0
8902,1371497.8,1285000.0
8410,728692.7,865000.0
27668,1061560.5,1151000.0
25311,509405.9,530000.0
29550,670961.44,920000.0
7495,618253.1,770000.0
16533,639626.4,900000.0
31128,686071.1,676000.0
6955,1181876.9,1020000.0
11161,1799286.1,2705000.0
2463,1276489.1,1300000.0
3329,1008706.94,1090000.0
16595,682863.3,831000.0
31248,542937.06,525000.0
29149,501741.97,514000.0
20633,1861250.5,1950000.0
8779,773154.06,270000.0
2158,1085314.9,860000.0
20196,598543.1,612500.0
19354,717736.3,625000.0
23091,678660.1,630000.0
25245,1284059.2,1380000.0
8676,762214.06,756000.0
17654,859717.5,704500.0
13186,1835276.8,1290000.0
29634,705865.5,770000.0
11129,1000217.94,735000.0
15224,885554.25,1130000.0
24330,667021.06,690000.0
11164,1597744.4,1162000.0
1186,2040644.1,1560000.0
5242,2352685.0,2920000.0
13131,2161144.8,2480000.0
19321,767835.94,683000.0
14845,1168311.9,1032000.0
18077,1099866.5,1345000.0
30668,1048902.5,1140000.0
20308,1310965.8,1195000.0
6716,463125.44,700000.0
27713,1312035.4,1325000.0
16267,660176.9,653000.0
26065,492239.28,391000.0
22744,1068824.2,850000.0
20656,1671907.9,1380000.0
15698,552624.5,525000.0
23238,2099413.5,1800000.0
15610,592129.8,568000.0
8732,1106499.4,1100000.0
3004,536611.44,415000.0
17105,1764015.8,1700000.0
7175,1125934.8,1080000.0
18511,1072973.1,748888.0
23366,1465579.1,1700000.0
12120,371050.22,316000.0
24853,749499.3,776000.0
20763,757281.9,800000.0
17581,756800.44,539000.0
284,1222454.0,1085000.0
29875,587431.0,697000.0
27870,1950499.1,1540000.0
29099,669822.25,677500.0
9952,999793.25,485000.0
14138,745079.0,815000.0
896,1515929.2,390000.0
24973,770568.9,750000.0
9305,1508422.5,2115000.0
2833,2575170.8,4350000.0
14007,691357.3,599999.0
371,1979391.4,1939000.0
13401,814843.7,650000.0
17966,1049493.5,1200000.0
1322,1350311.4,1230000.0
8206,919154.6,920000.0
6865,983869.9,945000.0
3032,1240118.4,896000.0
258,510297.4,620000.0
18926,1607035.5,710000.0
3072,557659.7,523000.0
22967,557639.6,630100.0
28008,1265107.0,2480000.0
6685,433462.06,432000.0
18018,629280.9,520000.0
11449,814824.6,701000.0
17655,676722.2,550000.0
9530,471335.0,520000.0
12193,675087.6,760000.0
14102,678549.0,717000.0
2343,1311101.4,930000.0
12448,1147800.2,1097000.0
13224,713691.7,1236000.0
12886,771968.75,643000.0
22875,937217.1,782000.0
19423,977106.56,850000.0
26680,1790421.6,2675000.0
10336,444478.3,438000.0
1591,940855.1,840000.0
10736,422025.28,400000.0
21698,756478.75,690000.0
22485,926927.75,952000.0
18027,2508013.2,2050000.0
29486,615508.4,783000.0
13240,1598792.2,1531000.0
8404,461518.78,440000.0
7921,1305683.5,950000.0
21243,1186347.4,1205000.0
28677,1126107.5,1253000.0
1486,734330.06,720000.0
23215,602131.9,567000.0
2493,1243104.5,1475000.0
31389,1085325.8,1025000.0
2822,1424133.0,2130000.0
28334,2999311.8,7000000.0
10319,483449.78,571750.0
2381,1104286.0,910000.0
6765,2081028.4,2360000.0
5766,1140942.9,1470000.0
17914,2005834.8,2000000.0
2828,2665226.8,2900000.0
1878,2460491.8,2475000.0
3144,1491802.1,1570000.0
